Site,Lat,Long,Waterway
TS/Ph9,25.177000000000000,-80.489999999999995,Taylor Slough
TS/Ph10,25.024999999999999,-80.680999999999997,Taylor Slough
TS/Ph11,24.913000000000000,-80.938000000000002,Taylor Slough
Joe Bay,25.224000000000000,-80.537000000000006,Taylor Slough
Little Madeira Bay,25.175000000000001,-80.626999999999995,Taylor Slough
Tarpon Bay,25.417000000000002,-80.998000000000005,Shark River Slough
Gunboat Island,25.379000000000001,-81.031000000000006,Shark River Slough
Ponce de Leon Bay,25.350000000000001,-81.125000000000000,Taylor Slough
Oyster Bay,25.331000000000000,-81.072999999999993,Shark River Slough
