ID_Org,ID_FCER,Latitude,Longitude,Corner
DR,SRS6,25.357,-81.099,NE
DR,SRS6,25.328,-81.16,SW
DR,SRS6,25.357,-81.16,NW
DR,SRS6,25.328,-81.099,SE
SRS5,SRS5,25.39,-81.01,NE
SRS5,SRS5,25.37,-81.04,SW
SRS5,SRS5,25.39,-81.04,NW
SRS5,SRS5,25.37,-81.01,SE
TB,SRS4,25.42,-80.96,NE
TB,SRS4,25.41,-80.99,SW
TB,SRS4,25.42,-80.99,NW
TB,SRS4,25.41,-80.96,SE
UR,NA,25.45,-80.87,NE
UR,NA,25.45,-80.92,SW
UR,NA,25.45,-80.92,NW
UR,NA,25.45,-80.87,SE
